Element,Component,forces,Loadcase
30,theta_x,,point
30,theta_y,,point
30,theta_z,,point
30,x,,point
30,y,,point
30,z,,point
31,Mx_i,3.7541472991228333,point
31,Mx_j,-3.7541472991228333,point
31,My_i,0.0,point
31,My_j,0.0,point
31,Mz_i,9.733603019786736,point
31,Mz_j,-13.41645173864186,point
31,Vx_i,0.0,point
31,Vx_j,0.0,point
31,Vy_i,-1.3258626629424068,point
31,Vy_j,1.3258626629424068,point
31,Vz_i,0.0,point
31,Vz_j,0.0,point
31,ddtheta_x,,point
31,ddtheta_y,,point
31,ddtheta_z,,point
31,ddx,,point
31,ddy,,point
31,ddz,,point
31,dtheta_x,,point
31,dtheta_y,,point
31,dtheta_z,,point
31,dx,,point
31,dy,,point
31,dz,,point
31,theta_x,,point
31,theta_y,,point
31,theta_z,,point
31,x,,point
31,y,,point
31,z,,point
32,Mx_i,3.8581647790792655,point
32,Mx_j,-3.8581647790792655,point
32,My_i,0.0,point
32,My_j,0.0,point
32,Mz_i,10.568435828305345,point
32,Mz_j,-14.97911895534286,point
32,Vx_i,0.0,point
32,Vx_j,0.0,point
32,Vy_i,-1.5878903866643324,point
32,Vy_j,1.5878903866643324,point
32,Vz_i,0.0,point
32,Vz_j,0.0,point
32,ddtheta_x,,point
32,ddtheta_y,,point
32,ddtheta_z,,point
32,ddx,,point
32,ddy,,point
32,ddz,,point
32,dtheta_x,,point
32,dtheta_y,,point
32,dtheta_z,,point
32,dx,,point
32,dy,,point
32,dz,,point
32,theta_x,,point
32,theta_y,,point
32,theta_z,,point
32,x,,point
32,y,,point
32,z,,point
33,Mx_i,3.8461300120314954,point
33,Mx_j,-3.8461300120314954,point
33,My_i,0.0,point
33,My_j,0.0,point
33,Mz_i,13.10326299024835,point
33,Mz_j,-20.434362938017554,point
33,Vx_i,0.0,point
33,Vx_j,0.0,point
33,Vy_i,-2.6392698807535746,point
33,Vy_j,2.6392698807535746,point
33,Vz_i,0.0,point
33,Vz_j,0.0,point
33,ddtheta_x,,point
33,ddtheta_y,,point
33,ddtheta_z,,point
33,ddx,,point
33,ddy,,point
33,ddz,,point
33,dtheta_x,,point
33,dtheta_y,,point
33,dtheta_z,,point
33,dx,,point
33,dy,,point
33,dz,,point
33,theta_x,,point
33,theta_y,,point
33,theta_z,,point
33,x,,point
33,y,,point
33,z,,point
34,Mx_i,3.02972632338275,point
34,Mx_j,-3.02972632338275,point
34,My_i,0.0,point
34,My_j,0.0,point
34,Mz_i,15.998228610468292,point
34,Mz_j,-25.04225923291561,point
34,Vx_i,0.0,point
34,Vx_j,0.0,point
34,Vy_i,-3.2559421904623687,point
34,Vy_j,3.2559421904623687,point
34,Vz_i,0.0,point
34,Vz_j,0.0,point
34,ddtheta_x,,point
34,ddtheta_y,,point
34,ddtheta_z,,point
34,ddx,,point
34,ddy,,point
34,ddz,,point
34,dtheta_x,,point
34,dtheta_y,,point
34,dtheta_z,,point
34,dx,,point
34,dy,,point
34,dz,,point
34,theta_x,,point
34,theta_y,,point
34,theta_z,,point
34,x,,point
34,y,,point
34,z,,point
35,Mx_i,2.844895533592678,point
35,Mx_j,-2.844895533592678,point
35,My_i,0.0,point
35,My_j,0.0,point
35,Mz_i,17.263758440878732,point
35,Mz_j,-26.127540468013123,point
35,Vx_i,0.0,point
35,Vx_j,0.0,point
35,Vy_i,-3.1910508791929986,point
35,Vy_j,3.1910508791929986,point
35,Vz_i,0.0,point
35,Vz_j,0.0,point
35,ddtheta_x,,point
35,ddtheta_y,,point
35,ddtheta_z,,point
35,ddx,,point
35,ddy,,point
35,ddz,,point
35,dtheta_x,,point
35,dtheta_y,,point
35,dtheta_z,,point
35,dx,,point
35,dy,,point
35,dz,,point
35,theta_x,,point
35,theta_y,,point
35,theta_z,,point
35,x,,point
35,y,,point
35,z,,point
36,Mx_i,2.539299989345294,point
36,Mx_j,-1.5374289292228793,point
36,My_i,0.0,point
36,My_j,0.0,point
36,Mz_i,-7.551407123510861e-14,point
36,Mz_j,7.551407123510861e-14,point
36,Vx_i,0.0,point
36,Vx_j,0.0,point
36,Vy_i,-0.8348925501020121,point
36,Vy_j,0.8348925501020121,point
36,Vz_i,0.0,point
36,Vz_j,0.0,point
36,ddtheta_x,,point
36,ddtheta_y,,point
36,ddtheta_z,,point
36,ddx,,point
36,ddy,,point
36,ddz,,point
36,dtheta_x,,point
36,dtheta_y,,point
36,dtheta_z,,point
36,dx,,point
36,dy,,point
36,dz,,point
36,theta_x,,point
36,theta_y,,point
36,theta_z,,point
36,x,,point
36,y,,point
36,z,,point
37,Mx_i,4.18448315325462,point
37,Mx_j,3.945978074770761,point
37,My_i,0.0,point
37,My_j,0.0,point
37,Mz_i,1.524174619401703e-13,point
37,Mz_j,-1.524174619401703e-13,point
37,Vx_i,0.0,point
37,Vx_j,0.0,point
37,Vy_i,-2.0453990510755675,point
37,Vy_j,2.0453990510755675,point
37,Vz_i,0.0,point
37,Vz_j,0.0,point
37,ddtheta_x,,point
37,ddtheta_y,,point
37,ddtheta_z,,point
37,ddx,,point
37,ddy,,point
37,ddz,,point
37,dtheta_x,,point
37,dtheta_y,,point
37,dtheta_z,,point
37,dx,,point
37,dy,,point
37,dz,,point
37,theta_x,,point
37,theta_y,,point
37,theta_z,,point
37,x,,point
37,y,,point
37,z,,point
38,Mx_i,-1.294621568806945,point
38,Mx_j,7.172153293045461,point
38,My_i,-0.0,point
